Название товара*;Описание;Категория*;Цена;Валюта
Электронные весы промышленные 500кг;Высокоточные весы для промышленного использования до 500кг с дисплеем;Электроника;899;USD
Светодиодные лампы E27 12W;Энергосберегающие LED лампы белый свет 4000K;Электроника;8;USD
Планшеты Android 10 дюймов;Планшетные компьютеры с экраном 10.1 дюйма 4GB RAM 64GB память;Электроника;159;USD
Махровые полотенца банные;Полотенца 100% хлопок размер 70x140см плотность 500г на м2;Текстиль;15;USD
Постельное белье сатин евро;Комплект постельного белья из сатина евро размер;Текстиль;45;USD
Шторы блэкаут готовые;Светонепроницаемые шторы с люверсами размер 140x260см;Текстиль;28;USD
Керамогранит напольный 60x60;Износостойкая керамическая плитка класс PEI IV для коммерческих помещений;Строительные материалы;25;USD
Ламинат влагостойкий 8мм;Ламинат класс износостойкости 33 толщина 8мм с фаской;Строительные материалы;18;USD
Сантехника унитазы напольные;Унитазы напольные с бачком керамика белая система двойного слива;Строительные материалы;89;USD
Кухонная посуда нержавейка набор;Набор кастрюль и сковородок из пищевой нержавеющей стали 7 предметов;Товары для дома;120;USD
Пылесосы роботы с Wi-Fi;Роботы-пылесосы с влажной уборкой Wi-Fi управление;Товары для дома;199;USD
Мультиварки электрические 5л;Мультиварки объем 5л 12 программ приготовления таймер;Товары для дома;65;USD
Медицинские маски одноразовые;Трёхслойные медицинские маски с фильтром упаковка 50 штук;Медицинские товары;12;USD
Термометры бесконтактные;Инфракрасные термометры для измерения температуры тела;Медицинские товары;25;USD
Аккумуляторы автомобильные 60Ah;Свинцово-кислотные аккумуляторы 12V 60Ah для легковых авто;Автотовары;85;USD
Автошины летние R16;Летние шины размер 205 на 55 R16 для легковых автомобилей;Автотовары;68;USD
Стрейч-пленка для упаковки;Прозрачная стрейч-пленка для ручной упаковки толщина 20мкм;Упаковочные материалы;45;USD
Коробки картонные почтовые;Гофрокоробки для отправки посылок размер 30x20x15см;Упаковочные материалы;1.2;USD
Садовые инструменты профессиональные;Комплект лопата штыковая секатор грабли совок рукоятки из дерева;Садовые товары;65;USD
Лейки садовые пластиковые;Лейки для полива объем 10л с длинным носиком и рассеивателем;Садовые товары;12;USD
Спортивная одежда для фитнеса;Комплекты эластичной одежды для занятий спортом из дышащих материалов;Спорт и отдых;35;USD
Коврики для йоги противоскользящие;Коврики для йоги размер 183x61см толщина 6мм материал TPE;Спорт и отдых;22;USD 